,Date,Open,High,Low,Close,Adj Close,Volume
143,2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200
144,2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800
145,2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200
146,2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300
147,2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600
148,2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000
149,2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100
150,2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500
151,2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
152,2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
153,2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
154,2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
155,2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
156,2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
157,2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
158,2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800
159,2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
160,2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
161,2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
162,2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
163,2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
164,2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
165,2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300
166,2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
167,2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
168,2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
169,2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
170,2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
171,2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
172,2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
173,2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
174,2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
175,2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
176,2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
177,2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
178,2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
179,2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
180,2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900
181,2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
182,2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
183,2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
184,2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
185,2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
186,2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
187,2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
188,2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
189,2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
190,2020-11-30,18.17,19.42,16.559998999999998,16.559998999999998,16.559998999999998,31983500
191,2020-12-01,17.110001,17.4,15.76,15.8,15.8,12666000
192,2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
193,2020-12-03,16.48,16.639999,15.87,16.120001000000002,16.120001000000002,6295000
194,2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
195,2020-12-07,17.0,17.5,16.219998999999998,16.35,16.35,7386300
196,2020-12-08,16.370001000000002,17.209999,15.93,16.940001000000002,16.940001000000002,16120200
197,2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
198,2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
199,2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900
200,2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
201,2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900
202,2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
203,2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
204,2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800
205,2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
206,2020-12-22,16.219998999999998,20.040001,16.15,19.459999,19.459999,30652700
207,2020-12-23,20.17,22.35,19.129998999999998,20.57,20.57,25830300
208,2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200
209,2020-12-28,21.309998999999998,21.969998999999998,20.35,20.99,20.99,8965900
210,2020-12-29,20.82,21.07,18.559998999999998,19.379998999999998,19.379998999999998,9241400
211,2020-12-30,19.379998999999998,20.0,18.85,19.26,19.26,5934400
212,2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700
213,2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500
214,2021-01-05,17.35,18.08,17.23,17.370001000000002,17.370001000000002,4961500
215,2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200
216,2021-01-07,18.469998999999998,19.450001,18.02,18.08,18.08,6129300
217,2021-01-08,18.18,18.299999,17.08,17.690001000000002,17.690001000000002,6482000
218,2021-01-11,19.41,20.65,19.01,19.940001000000002,19.940001000000002,14927600
219,2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700
220,2021-01-13,20.42,38.650002,20.030001000000002,31.4,31.4,144501700
221,2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400
222,2021-01-15,38.490002000000004,40.75,34.009997999999996,35.5,35.5,46866400
223,2021-01-19,41.549999,45.52,36.639998999999996,39.360001000000004,39.360001000000004,74721900
224,2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
225,2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800
226,2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900
227,2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
228,2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000
229,2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700
230,2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800
231,2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200
232,2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200
233,2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100
234,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500
235,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300
236,2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300
237,2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300
238,2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100
239,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
240,2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400
241,2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000
242,2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000
243,2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
244,2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600
245,2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200
246,2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000
247,2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200
248,2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
249,2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800
250,2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000
